"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMHeaderDocument","FRLMHeaderDocument","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Header Document","Eléments de l'entête d'un document contenant les informations générales et nécessaires à la gestion du document (identification et type du document, patient/usager, auteur, évènement documenté, etc...).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMHeaderDocument.identifier","FRLMHeaderDocument.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant unique du document et/ou du lot de version du meme document.","Identifiant unique du document et/ou du lot de version du meme document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.identifier",1,*,"",""
"FRLMHeaderDocument.documentType","FRLMHeaderDocument.documentType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de document.","Type de document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.documentType",1,1,"",""
"FRLMHeaderDocument.documentTitle","FRLMHeaderDocument.documentTitle","","","",1,1,"","","","string {[]} {[]}
","Titre du document.","Titre du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.documentTitle",1,1,"",""
"FRLMHeaderDocument.date","FRLMHeaderDocument.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de création du document.","Date de création du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.date",1,1,"",""
"FRLMHeaderDocument.confidentiality","FRLMHeaderDocument.confidentiality","","","",1,1,"","","","code {[]} {[]}
","Niveau de confidentialité du document.","Niveau de confidentialité du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.confidentiality",1,1,"",""
"FRLMHeaderDocument.language","FRLMHeaderDocument.language","","","",1,1,"","","","code {[]} {[]}
","Langue principale du document.","Langue principale du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.language",1,1,"",""
"FRLMHeaderDocument.version","FRLMHeaderDocument.version","","","",1,1,"","","","string {[]} {[]}
","Numéro de version du document.","Numéro de version du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.version",1,1,"",""
"FRLMHeaderDocument.status","FRLMHeaderDocument.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut du document.","Statut du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.status",1,1,"",""
"FRLMHeaderDocument.eventType","FRLMHeaderDocument.eventType","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Evènement documenté et notamment le cadre d'exercice.","Evènement documenté et notamment le cadre d'exercice.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.eventType",1,*,"",""
