"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMPredictableAdverseDrugReaction","FRLMPredictableAdverseDrugReaction","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Predictable Adverse Drug Reaction","Section Effets indesirables","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FRLMPredictableAdverseDrugReaction.codeSection","FRLMPredictableAdverseDrugReaction.codeSection","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de la section","Code de la section","","","","","","","","","",,,,,"",,,,"FRLMSection.codeSection",1,1,"",""
"FRLMPredictableAdverseDrugReaction.titleSection","FRLMPredictableAdverseDrugReaction.titleSection","","","",1,1,"","","","string {[]} {[]}
","Titre de la section","Titre de la section","","","","","","","","","",,,,,"",,,,"FRLMSection.titleSection",0,1,"",""
"FRLMPredictableAdverseDrugReaction.description","FRLMPredictableAdverseDrugReaction.description","","","",1,1,"","","","string {[]} {[]}
","Bloc narratif","Bloc narratif","","","","","","","","","",,,,,"",,,,"FRLMSection.description",1,1,"",""
"FRLMPredictableAdverseDrugReaction.author[x]","FRLMPredictableAdverseDrugReaction.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x]",0,*,"",""
"FRLMPredictableAdverseDrugReaction.author[x].authorProfessional","FRLMPredictableAdverseDrugReaction.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHealthProfessional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x].authorProfessional",0,*,"",""
"FRLMPredictableAdverseDrugReaction.author[x].authorOrganisation","FRLMPredictableAdverseDrugReaction.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrganisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x].authorOrganisation",0,*,"",""
"FRLMPredictableAdverseDrugReaction.author[x].authorDevice","FRLMPredictableAdverseDrugReaction.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDevice {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"FRLMSection.author[x].authorDevice",0,*,"",""
"FRLMPredictableAdverseDrugReaction.informant","FRLMPredictableAdverseDrugReaction.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMInformant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"FRLMSection.informant",0,*,"",""
"FRLMPredictableAdverseDrugReaction.subSection","FRLMPredictableAdverseDrugReaction.subSection","","","",0,0,"","","","Base {[]} {[]}
","Sous-sections","Sous-sections","","","","","","","","","",,,,,"",,,,"FRLMSection.subSection",0,*,"",""
"FRLMPredictableAdverseDrugReaction.entry","FRLMPredictableAdverseDrugReaction.entry","","","",1,*,"","","","Base {[]} {[]}
","Entrées","Entrées","","","","","","","","","",,,,,"",,,,"FRLMSection.entry",0,*,"",""
"FRLMPredictableAdverseDrugReaction.entry.adverseEvent","FRLMPredictableAdverseDrugReaction.entry.adverseEvent","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMAdverseDrugReaction {[]} {[]}
","Entrée Effet indesirable","Entrée Effet indesirable","","","","","","","","","",,,,,"",,,,"FRLMPredictableAdverseDrugReaction.entry.adverseEvent",1,*,"",""
